Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
3c2c,100,0,0.7369232,0.0000048
3c2d,0,100,-18.9145327,0
3c2h,0,100,-18.9145327,0
3c2s,0,100,-18.9145327,0
4c2c,100,0,7.9003429,0.0000048
4c3c,100,0,22.4423981,0.0000048
4c2d,0,100,-11.5747452,0
4c3d,0,100,-1.7203093,0
4c2h,0,100,-11.5747452,0
4c3h,0,100,-1.7203093,0
4c2s,0,100,-11.5747452,0
4c3s,0,100,-1.7203093,0
5c2c,100,0,8.3467579,0.0000048
5c3c,100,0,33.9534032,0.0000048
5c4c,100,0,55.2704853,0.0000048
5c2d,0,100,-10.710845,0
5c3d,0,100,-5.2754688,0
5c4d,100,0,5.0082779,0
5c2h,0,100,-10.710845,0
5c3h,0,100,-5.2754688,0
5c4h,100,0,5.0082779,0
5c2s,0,100,-10.710845,0
5c3s,0,100,-5.2754688,0
5c4s,100,0,5.0082779,0
6c2c,100,0,7.2420406,0.0000048
6c3c,100,0,12.3481297,0.0000048
6c4c,99.999994,0.00000596,23.6764121,0.0000048
6c5c,100,0,46.8215364,0.0000048
6c2d,0,100,-17.0900393,0
6c3d,0,100,-9.022665,0
6c4d,46.2152719,53.7847281,0.0396538,0
6c5d,100,0,3.659277,0
6c2h,0,100,-17.0900393,0
6c3h,0,100,-9.022665,0
6c4h,46.2152719,53.7847281,0.0396538,0
6c5h,100,0,3.659277,0
6c2s,0,100,-17.0900393,0
6c3s,0,100,-9.022665,0
6c4s,46.2152719,53.7847281,0.0396538,0
6c5s,100,0,3.659277,0
7c2c,99.999994,0.00000596,1.5828657,0.0000048
7c3c,100,0,7.7762127,0.0000048
7c4c,100,0,24.7612572,0.0000048
7c5c,100,0,30.3674364,0.0000048
7c6c,100,0,57.3662221,0.0000048
7c2d,0,100,-21.5890312,0
7c3d,0,100,-9.9151564,0
7c4d,80.7609081,19.2390919,0.0933743,0
7c5d,100,0,4.485898,0
7c6d,99.999994,0.00000596,13.6278796,0
7c2h,0,100,-21.5890312,0
7c3h,0,100,-9.9151564,0
7c4h,80.7609081,19.2390919,0.0933743,0
7c5h,100,0,4.485898,0
7c6h,99.999994,0.00000596,13.6278796,0
7c2s,0,100,-21.5890312,0
7c3s,0,100,-9.9151564,0
7c4s,80.7609081,19.2390919,0.0933743,0
7c5s,100,0,4.485898,0
7c6s,99.999994,0.00000596,13.6278796,0
8c2c,100,0,1.5906382,0.0000048
8c3c,100,0,4.8544073,0.0000048
8c4c,100,0,17.7656627,0.0000048
8c5c,100,0,20.9818053,0.0000048
8c6c,100,0,44.9828368,0.0000048
8c7c,100,0,78.305583,0.0000048
8c2d,0,100,-16.2677526,0
8c3d,0,100,-11.7273998,0
