Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
3c2c,100,0,5.5048609,0.0000048
3c2d,0,100,-17.2296095,0
3c2h,0,100,-17.2296095,0
3c2s,0,100,-17.2296095,0
4c2c,100,0,12.4679184,0.0000048
4c3c,100,0,36.2730885,0.0000048
4c2d,0,100,-10.1711464,0
4c3d,23.4400973,76.5599012,-0.0240612,0
4c2h,0,100,-10.1711464,0
4c3h,23.4400973,76.5599012,-0.0240612,0
4c2s,0,100,-10.1711464,0
4c3s,23.4400973,76.5599012,-0.0240612,0
5c2c,100,0,15.2961969,0.0000048
5c3c,100,0,42.6378918,0.0000048
5c4c,100,0,66.5151095,0.0000048
5c2d,0,100,-8.6385822,0
5c3d,0,100,-2.7834654,0
5c4d,100,0,8.0410433,0
5c2h,0,100,-8.6385822,0
5c3h,0,100,-2.7834654,0
5c4h,100,0,8.0410433,0
5c2s,0,100,-8.6385822,0
5c3s,0,100,-2.7834654,0
5c4s,100,0,8.0410433,0
6c2c,100,0,12.1940303,0.0000048
6c3c,100,0,17.936573,0.0000048
6c4c,100,0,32.5282884,0.0000048
6c5c,100,0,54.6812484,0.0000048
6c2d,0,100,-15.8876133,0
6c3d,0,100,-6.9142818,0
6c4d,98.6682713,1.3317287,0.4986572,0
6c5d,100,0,7.0571089,0
6c2h,0,100,-15.8876133,0
6c3h,0,100,-6.9142818,0
6c4h,98.6682713,1.3317287,0.4986572,0
6c5h,100,0,7.0571089,0
6c2s,0,100,-15.8876133,0
6c3s,0,100,-6.9142818,0
6c4s,98.6682713,1.3317287,0.4986572,0
6c5s,100,0,7.0571089,0
7c2c,100,0,5.1390696,0.0000048
7c3c,100,0,11.8623209,0.0000048
7c4c,100,0,33.6835313,0.0000048
7c5c,100,0,43.3471936,0.0000048
7c6c,100,0,70.1549244,0.0000048
7c2d,0,100,-21.3801718,0
7c3d,0,100,-8.5582399,0
7c4d,100,0,1.2950754,0
7c5d,99.999994,0.00000596,7.182045,0
7c6d,100,0,18.0028725,0
7c2h,0,100,-21.3801718,0
7c3h,0,100,-8.5582399,0
7c4h,100,0,1.2950754,0
7c5h,99.999994,0.00000596,7.182045,0
7c6h,100,0,18.0028725,0
7c2s,0,100,-21.3801718,0
7c3s,0,100,-8.5582399,0
7c4s,100,0,1.2950754,0
7c5s,99.999994,0.00000596,7.182045,0
7c6s,100,0,18.0028725,0
8c2c,99.999994,0.00000596,5.2692795,0.0000048
8c3c,100,0,8.7048483,0.0000048
8c4c,100,0,22.1220398,0.0000048
8c5c,100,0,29.790144,0.0000048
8c6c,100,0,55.061506,0.0000048
8c7c,100,0,84.4607377,0.0000048
8c2d,0,100,-15.0594521,0
8c3d,0,100,-10.3639698,0
8c4d,0,100,-0.9100628,0
8c5d,100,0,4.0627909,0
8c6d,99.999994,0.00000596,15.3148031,0
8c7d,100,0,29.7772932,0
8c2h,0,100,-15.0594521,0
8c3h,0,100,-10.3639698,0
8c4h,0,100,-0.9100628,0
8c5h,100,0,4.0627909,0
8c6h,99.999994,0.00000596,15.3148031,0
8c7h,100,0,29.7772932,0
8c2s,0,100,-15.0594521,0
8c3s,0,100,-10.3639698,0
8c4s,0,100,-0.9100628,0
8c5s,100,0,4.0627909,0
8c6s,99.999994,0.00000596,15.3148031,0
8c7s,100,0,29.7772932,0
9c2c,100,0,10.1497793,0.0000048
9c3c,100,0,19.1977739,0.0000048
9c4c,100,0,13.9756846,0.0000048
9c5c,100,0,26.708858,0.0000048
9c6c,100,0,34.2164671,0.0000048
9c7c,100,0,67.5120819,0.0000048
9c8c,100,0,95.8068275,0.0000048
9c2d,0,100,-8.0436468,0
9c3d,0,100,-5.4942989,0
9c4d,0,100,-3.6274338,0
9c5d,100,0,0.8039761,0
9c6d,100,0,13.9722848,0
9c7d,100,0,31.0731065,0
9c8d,100,0,38.4286177,0
9c2h,0,100,-8.0436468,0
9c3h,0,100,-5.4942989,0
9c4h,0,100,-3.6274338,0
9c5h,100,0,0.8039761,0
9c6h,100,0,13.9722848,0
9c7h,100,0,31.0731065,0
9c8h,100,0,38.4286177,0
9c2s,0,100,-8.0436468,0
9c3s,0,100,-5.4942989,0
9c4s,0,100,-3.6274338,0
9c5s,100,0,0.8039761,0
9c6s,100,0,13.9722848,0
9c7s,100,0,31.0731065,0
9c8s,100,0,38.4286177,0
Tc2c,100,0,17.1569991,0.0000048
Tc3c,100,0,20.845089,0.0000048
Tc4c,100,0,22.5657606,0.0000048
Tc5c,100,0,26.586802,0.0000048
Tc6c,100,0,43.1625855,0.0000048
Tc7c,100,0,58.8128567,0.0000048
Tc8c,100,0,97.4684095,0.0000048
Tc9c,100,0,105.589519,0.0000048
Tc2d,0,100,-4.5969248,0
Tc3d,0,100,-1.5536499,0
Tc4d,37.8795564,62.1204436,-0.0341654,0
