Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
Jc5d,100,0,2.6877689,0
Jc6d,100,0,6.9427204,0
Jc7d,100,0,20.5190372,0
Jc8d,100,0,31.952256,0
Jc9d,100,0,48.3059064,0
JcTd,100,0,73.3754444,0
Jc2h,0,100,-3.7485075,0
Jc3h,0.37150399,99.6284962,-0.318656,0
Jc4h,11.4860639,88.5139346,-0.0607634,0
Jc5h,100,0,2.6877689,0
Jc6h,100,0,6.9427204,0
Jc7h,100,0,20.5190372,0
Jc8h,100,0,31.952256,0
Jc9h,100,0,48.3059064,0
JcTh,100,0,73.3754444,0
Jc2s,0,100,-3.7485075,0
Jc3s,0.37150399,99.6284962,-0.318656,0
Jc4s,11.4860639,88.5139346,-0.0607634,0
Jc5s,100,0,2.6877689,0
Jc6s,100,0,6.9427204,0
Jc7s,100,0,20.5190372,0
Jc8s,100,0,31.952256,0
Jc9s,100,0,48.3059064,0
JcTs,100,0,73.3754444,0
Qc2c,100,0,27.0188379,0.0000048
Qc3c,100,0,30.8124411,0.0000048
Qc4c,100,0,31.5589237,0.0000048
Qc5c,100,0,48.2169257,0.0000048
Qc6c,100,0,48.3783835,0.0000048
Qc7c,100,0,55.2222633,0.0000048
Qc8c,100,0,72.4615836,0.0000048
Qc9c,100,0,120.25754,0.0000048
QcTc,100,0,147.89835,0.0000048
QcJc,100,0,164.721956,0.0000048
Qc2d,12.1086821,87.8913164,-0.0786591,0
Qc3d,99.999994,0.00000596,1.5897751,0
Qc4d,100,0,5.5783033,0
Qc5d,100,0,9.8330021,0
Qc6d,100,0,15.0339007,0
Qc7d,100,0,18.8354254,0
Qc8d,100,0,32.896378,0
Qc9d,100,0,56.2942916,0
QcTd,100,0,71.4529276,0
QcJd,100,0,92.2445822,0
Qc2h,12.1086821,87.8913164,-0.0786591,0
Qc3h,99.999994,0.00000596,1.5897751,0
Qc4h,100,0,5.5783033,0
Qc5h,100,0,9.8330021,0
Qc6h,100,0,15.0339007,0
Qc7h,100,0,18.8354254,0
Qc8h,100,0,32.896378,0
Qc9h,100,0,56.2942916,0
QcTh,100,0,71.4529276,0
QcJh,100,0,92.2445822,0
Qc2s,12.1086821,87.8913164,-0.0786591,0
Qc3s,99.999994,0.00000596,1.5897751,0
Qc4s,100,0,5.5783033,0
Qc5s,100,0,9.8330021,0
Qc6s,100,0,15.0339007,0
Qc7s,100,0,18.8354254,0
Qc8s,100,0,32.896378,0
Qc9s,100,0,56.2942916,0
QcTs,100,0,71.4529276,0
QcJs,100,0,92.2445822,0
Kc2c,100,0,58.0079091,0.0000048
Kc3c,100,0,58.3625686,0.0000048
Kc4c,100,0,57.9023802,0.0000048
Kc5c,100,0,76.7812276,0.0000048
Kc6c,100,0,76.8670321,0.0000048
Kc7c,100,0,82.2467709,0.0000048
Kc8c,100,0,95.3733921,0.0000048
Kc9c,100,0,124.839664,0.0000048
KcTc,100,0,170.835466,0.0000048
KcJc,100,0,182.027235,0.0000048
KcQc,100,0,212.349358,0.0000048
Kc2d,100,0,9.2347574,0
Kc3d,99.999994,0.00000596,11.5338945,0
Kc4d,100,0,15.6758857,0
Kc5d,100,0,20.6822562,0
Kc6d,100,0,26.9053364,0
Kc7d,100,0,34.1876149,0
Kc8d,100,0,41.5479529,0
Kc9d,100,0,55.1921731,0
KcTd,100,0,101.163774,0
KcJd,100,0,111.513472,0
KcQd,100,0,135.866699,0
Kc2h,100,0,9.2347574,0
Kc3h,99.999994,0.00000596,11.5338945,0
Kc4h,100,0,15.6758857,0
Kc5h,100,0,20.6822562,0
Kc6h,100,0,26.9053364,0
Kc7h,100,0,34.1876149,0
Kc8h,100,0,41.5479529,0
Kc9h,100,0,55.1921731,0
KcTh,100,0,101.163774,0
KcJh,100,0,111.513472,0
KcQh,100,0,135.866699,0
Kc2s,100,0,9.2347574,0
Kc3s,99.999994,0.00000596,11.5338945,0
Kc4s,100,0,15.6758857,0
Kc5s,100,0,20.6822562,0
Kc6s,100,0,26.9053364,0
Kc7s,100,0,34.1876149,0
Kc8s,100,0,41.5479529,0
Kc9s,100,0,55.1921731,0
KcTs,100,0,101.163774,0
KcJs,100,0,111.513472,0
KcQs,100,0,135.866699,0
Ac2c,100,0,96.8466377,0.0000048
Ac3c,100,0,103.418431,0.0000048
Ac4c,100,0,115.712361,0.0000048
Ac5c,100,0,122.120481,0.0000048
Ac6c,100,0,101.515956,0.0000048
Ac7c,100,0,111.454372,0.0000048
